date,customer,amount,category
2026-01-01,Alice,100,Food
2026-01-01,Bob,200,Transport
2026-01-02,Alice,150,Food
2026-01-03,Charlie,-50,Food
2026-01-04,Alice,abc,Food
2026-01-05,Bob,300,Transport
2026-01-05,,400,Shopping
2026-01-06,David,500,Shopping
2026-01-06,Alice,1000,Food

2026-01-07,Eve,0,Entertainment
2026-01-08,Frank,25.75,Food
2026-01-09,Grace,99999.99,Shopping

2026-01-10,Henry,,Food
2026-01-11,Ian,150,
2026-01-12,,100,Food

2026-01-13,Jack,-1000,Transport
2026-01-14,Kate,one hundred,Food

,Mary,300,Shopping
2026-01-15,Mary,300,Shopping

2026-01-16,ALICE,250,Food
2026-01-17,alice,125,Food

2026-01-18, Bob ,75,Transport
2026-01-19,Charlie,50,Transport

2026-01-20,David,500.50,Shopping
2026-01-21,Eve,700.25,Entertainment

2026-01-22,Frank,1000000,Investment
2026-01-23,Grace,-99999,Investment

2026-01-24,Harry,50.5,Food
2026-01-25,Harry,49.5,Food

2026-01-26,Ivy,10,Food
2026-01-26,Ivy,20,Food
2026-01-26,Ivy,30,Food

2026-01-27,John,0,Transport

2026-01-28,Kelly,50.123,Food
2026-01-29,Luke,75.999,Shopping

2026-01-30,Mike,500,Travel
2026-01-31,Nina,600,Travel

2026-02-01,Oscar,100,Food
2026-02-02,Paul,200,Food
2026-02-03,Queen,300,Food

invalid,row,entirely,broken
